Id,SalePrice
1461,148638.66
1462,199483.16
1463,197735.34
1464,199279.22
1465,192330.61
1466,183489.73
1467,179168.61
1468,167138.62
1469,181695.23
1470,137853.16
1471,194046.67
1472,122890.92
1473,127285.63
1474,163117.14
1475,129978.5
1476,334051.56
1477,255299.34
1478,290145.12
1479,289267.1
1480,448506.56
1481,308980.6
1482,203694.14
1483,174269.64
1484,172420.9
1485,167357.62
1486,193127.78
1487,346188.6
1488,246702.2
1489,195017.14
1490,206273.17
1491,192052.94
1492,137161.1
1493,206419.95
1494,276057.25
1495,298191.7
1496,230069.5
1497,198835.95
1498,156180.81
1499,165227.58
1500,155306.72
1501,171627.14
1502,137095.89
1503,261582.23
1504,228631.78
1505,224252.08
1506,253362.23
1507,318665.53
1508,218622.78
1509,180065.2
1510,178663.73
1511,159657.3
1512,212816.38
1513,193868.64
1514,211101.97
1515,255343.73
1516,170744.12
1517,161689.84
1518,201624.14
1519,239136.78
1520,150160.39
1521,154820.75
1522,209604.83
1523,148049.39
1524,138683.72
1525,131320.83
1526,136890.1
1527,132490.92
1528,156043.92
1529,153324.64
1530,230222.75
1531,195463.78
1532,124716.04
1533,182247.08
1534,139986.94
1535,196908.17
1536,162166.94
1537,113986.56
1538,205922.36
1539,218699.48
1540,193967.5
1541,165709.02
1542,185345.06
1543,233997.66
1544,103274.414
1545,134687.89
1546,137694.72
1547,160477.06
1548,164358.62
1549,133305.53
1550,175854.95
1551,147487.64
1552,216615.77
1553,185865.16
1554,149604.84
1555,199170.8
1556,144983.25
1557,138362.81
1558,127738.055
1559,193266.81
1560,189353.88
1561,233071.3
1562,132786.56
1563,125779.23
1564,182906.33
1565,163381.64
1566,252046.38
1567,112602.945
1568,235152.06
1569,193156.12
1570,137137.7
1571,149502.06
1572,163163.9
1573,223009.61
1574,173592.06
1575,215802.0
1576,248456.05
1577,177720.0
1578,158374.1
1579,135025.56
1580,198800.44
1581,144229.7
1582,127465.41
1583,300314.94
1584,251434.6
1585,142318.0
1586,85897.414
1587,123583.76
1588,159981.58
1589,140675.78
1590,140177.89
1591,125987.28
1592,152365.48
1593,133538.92
1594,212769.53
1595,164801.94
1596,262491.72
1597,232045.98
1598,189501.3
1599,155961.19
1600,176667.77
1601,63581.043
1602,144049.58
